Geolocation,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,96.5,87.46,97.15,94.34,94.19,89.9,89.8,98.6,104.34,78.31,110.01,114.0,101.63,97.32,85.37,80.16,80.79,75.82,76.39,74.7,72.3588
CAR: Cordillera Administrative Region,94.58,93.88,92.57,90.07,87.31,83.46,81.57,82.01,82.19,100.21,98.61,101.71,100.46,99.47,100.05,98.95,96.51,93.59,90.99,90.51,86.4657
CARAGA: CARAGA Administrative Region,93.35,83.72,81.31,78.23,75.56,75.12,77.55,82.15,75.54,94.17,97.34,96.08,95.82,96.7,97.69,98.11,96.65,95.07,93.68,94.2,91.1842
MIMAROPA: Southwestern Tagalog Region,,,91.7,90.13,88.94,85.28,84.75,84.9,85.91,89.41,96.25,98.56,97.14,95.83,95.68,96.71,94.88,92.44,91.1,90.75,86.6139
NCR: National Capital Region,101.92,99.13,98.28,97.87,95.95,93.63,93.83,95.69,94.72,92.01,98.74,101.54,100.65,100.57,99.95,100.95,96.58,93.5,92.38,90.42,81.6903
Region 10: Northern Mindanao,95.19,94.27,89.5,87.92,84.95,81.08,79.96,81.58,81.83,92.97,93.97,95.67,94.36,93.82,93.86,94.13,95.52,95.68,96.49,98.33,96.1691
Region 11: Davao Region,94.38,85.68,85.99,85.74,83.97,80.35,77.04,78.36,78.61,94.37,99.56,101.24,99.52,100.87,100.17,101.66,100.2,97.19,95.76,94.63,87.1074
Region 12: SOCCSKSARGEN,98.38,87.85,83.18,82.61,81.7,79.15,77.82,79.94,81.21,86.71,90.58,92.56,91.4,91.43,93.64,94.09,93.53,92.3,92.1,92.68,89.17
Region 1: Ilocos Region,97.01,91.23,89.37,88.39,87.01,84.95,82.58,82.97,82.54,94.03,99.17,99.29,97.66,97.23,97.4,96.36,94.14,91.83,89.67,89.61,85.8033
Region 2: Cagayan Valley,95.74,89.94,87.2,86.13,83.35,80.34,78.03,77.89,76.32,96.8,96.45,98.37,98.97,100.17,101.26,102.33,99.82,98.15,96.36,97.02,93.1946
Region 3: Central Luzon,97.85,86.5,93.88,93.95,92.31,91.17,89.47,91.76,91.01,91.82,99.38,100.24,99.1,99.24,99.77,99.02,98.44,97.87,98.32,100.03,95.3453
Region 4A: CALABARZON,99.04,93.93,96.54,95.96,95.63,93.55,92.95,94.62,94.56,88.48,95.2,97.65,98.01,96.75,97.53,96.84,97.46,96.59,97.37,98.61,92.497
Region 5: Bicol Region,95.31,92.77,91.95,90.37,88.9,86.62,84.84,86.29,85.67,93.55,97.99,99.49,98.64,98.39,98.16,96.04,95.12,92.96,92.38,92.25,86.8802
Region 6: Western Visayas,96.03,90.37,86.7,83.92,81.13,77.77,75.49,75.9,75.05,88.15,94.87,96.78,96.97,97.88,98.28,98.5,98.42,96.66,96.47,96.75,93.4375
Region 7: Central Visayas,99.99,89.13,88.66,86.26,84.2,80.81,79.48,80.91,81.46,92.67,96.8,99.77,100.56,101.36,101.93,102.28,101.41,98.35,97.69,98.05,92.9882
Region 8: Eastern Visayas,95.53,88.42,87.35,85.57,85.44,81.93,79.9,80.59,81.24,91.85,96.97,97.68,96.59,95.93,96.18,95.27,93.79,92.5,91.23,91.76,89.0283
Region 9: Zamboanga Peninsula,93.82,90.52,90.07,85.66,83.74,80.0,78.42,79.63,79.65,92.92,95.94,98.42,95.69,91.83,93.67,92.13,90.91,90.4,91.23,92.2,89.7044
