Geolocation,2018,2019,2020
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,68.08,66.24,56.88636333310178
CAR: Cordillera Administrative Region,81.07,76.25,81.1514538910687
CARAGA: CARAGA Administrative Region,78.16,73.02,82.41924267798913
MIMAROPA: Southwestern Tagalog Region,70.69,72.04,72.90367006636758
NCR: National Capital Region,82.64,76.28,56.25539729251835
Region 10: Northern Mindanao,78.32,73.29,74.57098728626106
Region 11: Davao Region,78.53,72.25,58.74642177444313
Region 12: SOCCSKSARGEN,74.83,73.02,73.87811305362611
Region 1: Ilocos Region,83.26,80.57,84.45021844490022
Region 2: Cagayan Valley,82.32,80.76,90.35610770565052
Region 3: Central Luzon,81.76,77.12,72.07268501608172
Region 4A: CALABARZON,81.66,79.68,64.19993874135481
Region 5: Bicol Region,78.34,72.83,51.05055270405532
Region 6: Western Visayas,79.46,77.24,85.19694765122162
Region 7: Central Visayas,86.49,77.4,67.31807950980419
Region 8: Eastern Visayas,75.54,73.49,82.50550388063633
Region 9: Zamboanga Peninsula,75.14,68.39,77.00337843536857
