Geolocation,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
BARMM: Bangsamoro Autonomous Region in Muslim Mindanao,97.8,99.27,26.56109339407745,27.797789117536976,33.21606181122249,32.146754415070774,38.51442063770831,40.91513276537529,27.27177478501253,34.8264384213029,35.80486310919832,43.1
CAR: Cordillera Administrative Region,100.0,100.0,70.583333565578,74.58540324802692,78.06151842632018,83.48266694743491,87.49111511717744,90.3,92.45177212344112,95.6221692882457,93.3197097107464,94.3
CARAGA: CARAGA Administrative Region,99.85,100.0,76.98009870791573,81.41206497589926,87.86464499142903,79.33990145943837,92.5365566037736,96.10087214085895,107.16947163516954,115.32059518959218,100.0,100.0
MIMAROPA: Southwestern Tagalog Region,99.31,100.0,59.983526072844114,62.52852047495061,67.23157736473154,69.35554095697299,82.03390315792153,84.14145512837325,82.91951578219575,87.27023970656307,90.25045849519825,91.01
NCR: National Capital Region,100.0,100.0,80.70232002328778,99.252310111609,97.73778718196766,98.02709941895267,98.0236435177892,98.2594430821432,103.02319361347078,107.61481972474664,100.0,100.0
Region 10: Northern Mindanao,96.44,100.0,66.19156915932352,67.29184548908606,62.42598500126233,67.13743995110931,77.39253702260326,81.67300621702528,88.96847244635062,92.36390971964536,92.50294123569292,94.81
Region 11: Davao Region,100.0,100.0,54.57616755308824,54.84543843563957,74.78317271363537,70.16317548649826,86.91525818706664,73.09342361294937,68.2475258203881,83.68633865580261,86.02051363060008,88.4
Region 12: SOCCSKSARGEN,99.75,100.0,43.287409805834606,43.49284981552763,45.97060052679032,51.87870686999992,65.69149246403276,70.60136144568145,64.05366048654206,70.42724711615335,81.76228728061827,85.91
Region 1: Ilocos Region,100.0,100.0,80.92520888526595,82.70334994848375,83.91745294919018,86.43630961989454,93.6639317910117,93.90044671238763,99.15406784650264,102.2016639039135,98.68733767558822,99.02
Region 2: Cagayan Valley,99.96,100.0,73.17328414559714,74.48580844677399,81.12292731168617,83.53402732595966,92.29421791005636,93.09517750349916,94.77038215768664,97.91379696163504,95.53569208583008,99.63
Region 3: Central Luzon,99.94,100.0,82.1343553118068,89.69698962886525,93.17833334099927,92.29901297110476,96.871580951058,97.37316403387626,107.08248167389944,109.12455514350349,99.42919661273972,99.74
Region 4A: CALABARZON,98.63,99.33,81.5785989437003,94.35743601036552,93.74427551418906,92.03384195232992,95.3960473046388,96.670557699125,104.9251415142272,110.43349139695702,99.01244009470896,99.17
Region 5: Bicol Region,99.94,100.0,67.44114552552281,68.69581153431628,73.89640172620764,72.96247921806456,87.98581598628581,89.96431162635442,78.75184660573929,82.38545700871656,91.5266178403694,93.65
Region 6: Western Visayas,99.93,100.0,64.41042711167411,68.5783928030332,72.96941741747779,76.60615343592161,91.4518837099042,94.94571758871248,86.05733186457009,92.01106582230256,90.91694982689992,92.98
Region 7: Central Visayas,100.0,100.0,69.71545815712582,71.68102051914411,80.0535425930947,85.88038530829715,94.60647737679116,97.0226648519686,95.85921885556762,99.10749387340007,96.8050458229654,97.67
Region 8: Eastern Visayas,98.84,100.0,66.3564825529945,69.19329851448832,71.45574311877738,75.0300659642322,85.59279411613763,89.35298797260126,84.31119175829916,89.16009830482,94.00859913602925,96.86
Region 9: Zamboanga Peninsula,99.84,100.0,48.78483819929952,50.77889078333517,51.49723575931385,55.045772780033296,71.0872493494566,74.1379520830154,63.2422402370314,68.90852194454837,72.35588743510853,78.3
